订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
115   Claude Max 20x (9/14+)             USD 200            Claude Fable 5.1            17.28       0.11574  medium
116   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M3                  17          0.01294  high
117   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M2.7                17          0.01294  medium
118   Ollama Pro                         USD 20             GLM 5.3 Flash               16.973      0.01178  medium
119   Kimi 会员 199 (v1) †               ¥199（国际 $39）   Kimi K2.7 Code              15.68       0.02487  medium
120   OpenCode Go                        USD 10             DeepSeek V4.1 Flash         15.528      0.00644  medium
121   OpenCode Go                        USD 10             Hy3                         14.87       0.00672  medium
122   Kimi 会员 199 (v1) †               ¥199（国际 $39）   Kimi K3                     14.51       0.02688  medium
123   OpenCode Go                        USD 10             Qwen3.8 Flash               13.876      0.00721  medium
124   Ollama Max                         USD 100            Kimi K2.7 Code              13.155      0.07602  medium
125   Ollama Max                         USD 100            GLM 5.1                     12.766      0.07833  medium
126   OpenCode Go                        USD 10             Omen Alpha                  12.739      0.00785  medium
127   Ollama Pro                         USD 20             DeepSeek V4 Pro             12.568      0.01591  medium
128   GLM Coding Lite (v3 ¥118) 闲时     CNY 118            GLM 5.3 Flash               12.49       0.01394  high
129   GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3 Flash               12.49       0.00579  high
130   GLM Coding Pro (v3 ¥538) 忙时      CNY 538            GLM 5.3                     12.36       0.06421  high
131   GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3                     12.36       0.01778  high
132   Cursor Pro (Standard)              USD 20             Composer 2.5                12.126      0.01649  medium
133   Claude Max 20x (9/14+)             USD 200            Claude Fable 5              12.077      0.1656   low
134   ChatGPT Plus                       USD 20             GPT 5.6 Terra               11.915      0.01679  medium
135   Step Plan Plus (¥99)               CNY 99             Step 5 Preview              11.327      0.01289  high
136   Command Code GOAT                  USD 10             GLM 5.3 Flash               11.315      0.00884  medium
137   Devin Max                          USD 200            GPT-6 Astra                 11.15       0.17937  medium
138   Command Code GOAT                  USD 10             Qwen3.8 27B                 10.972      0.00911  medium
139   Command Code GOAT                  USD 10             MiMo V2.5 Pro               10.685      0.00936  medium
140   Command Code GOAT                  USD 10             MiMo V2.6 Pro               10.685      0.00936  medium
141   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Pro               10.64       0.01504  medium
142   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5 Pro               10.64       0.01504  medium
143   OpenCode Go                        USD 10             Qwen3.7 Plus                10.563      0.00947  medium
144   ChatGPT Plus                       USD 20             GPT-6 Sol                   10.48       0.01908  high
145   Ollama Max                         USD 100            GLM 5.3                     9.702       0.10307  medium
146   Ollama Max                         USD 100            GLM 5.2                     9.702       0.10307  medium
147   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Flash             9.42        0.00637  medium
148   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5                   9.42        0.00637  medium
149   GLM Coding Lite (v3 ¥118) 中间值   CNY 118            GLM 5.3 Flash               9.36        0.0186   high
150   GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3 Flash               9.36        0.00772  high
151   Claude Max 5x (9/14+)              USD 100            Claude Fable 5              9.235       0.10828  low
152   Command Code GOAT                  USD 10             Qwen3.8 Flash               9.145       0.01093  medium
153   ChatGPT Pro 5x                     USD 100            GPT-6 Astra                 9.1         0.10989  low
154   Claude Max 5x (9/14+)              USD 100            Claude Fable 5.1            8.639       0.11575  low
155   Step Plan Mini (¥49)               CNY 49             Step 3.7 Flash              8.588       0.00842  medium
156   Command Code GOAT                  USD 10             Step 3.5 Flash              8.547       0.0117   medium
157   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Pro               8.51        0.0188   medium
158   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5 Pro               8.51        0.0188   medium
159   OpenCode Go                        USD 10             MiniMax M3                  8.368       0.01195  medium
160   OpenCode Go                        USD 10             MiniMax M2.7                8.368       0.01195  medium
161   OpenCode Go                        USD 10             MiniMax M2.5                8.368       0.01195  medium
162   Ollama Pro                         USD 20             MiniMax M2.7                8.368       0.0239   medium
163   OpenCode Go                        USD 10             MiMo V2.5 Pro               8.004       0.01249  medium
164   OpenCode Go                        USD 10             MiMo V2.6 Pro               8.004       0.01249  medium
165   OpenCode Go                        USD 10             Qwen3.6 Plus                7.895       0.01267  medium
166   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Flash             7.54        0.00796  medium
167   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5                   7.54        0.00796  medium
168   Ollama Max                         USD 100            Kimi K3                     6.803       0.14699  medium
169   Command Code GOAT                  USD 10             GPT 5.6 Luna                6.579       0.0152   medium
170   Command Code GOAT                  USD 10             MiniMax M3                  6.555       0.01526  medium
171   GLM Coding Lite (v3 ¥118) 忙时     CNY 118            GLM 5.3 Flash               6.24        0.0279   high
172   GLM Coding Lite (v2 ¥49) 忙时      CNY 49             GLM 5.3 Flash               6.24        0.01158  high
173   ChatGPT Plus                       USD 20             GPT 5.6 Sol                 6.16        0.03247  medium
174   MiniMax Token Plan Plus            CNY 49             MiniMax M3                  6           0.01205  high
175   MiniMax Token Plan Plus            CNY 49             MiniMax M2.7                6           0.01205  medium
176   SuperGrok                          USD 30             Grok 4.6                    5.09        0.05894  high
177   SuperGrok                          USD 30             Grok 4.5                    5.09        0.05894  medium
178   SuperGrok                          USD 30             Grok 4.7                    4.97        0.06036  medium
179   OpenCode Go                        USD 10             GPT 5.6 Luna                4.934       0.02027  medium
180   ChatGPT Plus                       USD 20             GPT 5.5                     4.766       0.04196  medium
181   Cursor Pro                         USD 20             Grok 4.6                    4.7         0.04255  medium
182   OpenCode Go                        USD 10             GLM 5.3 Flash               4.243       0.02357  medium
183   Command Code GOAT                  USD 10             DeepSeek V4 Pro             4.189       0.02387  medium
184   Ollama Pro                         USD 20             MiniMax M3                  4.184       0.0478   medium
185   Cursor Pro (Composer Fast)         USD 20             Composer 2.5                4.182       0.04782  medium
186   GLM Coding Lite (v3 ¥118) 闲时     CNY 118            GLM 5.3                     4.12        0.04225  high
187   GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3                     4.12        0.01754  high
188   OpenCode Go                        USD 10             Hy4 Preview                 4.049       0.0247   medium
189   Command Code GOAT                  USD 10             Step 3.7 Flash              4.036       0.02478  medium
190   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Pro               3.97        0.01511  medium
191   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5 Pro               3.97        0.01511  medium
192   Command Code GOAT                  USD 10             Qwen3.7 Plus                3.452       0.02897  medium
193   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Pro               3.17        0.01893  medium
194   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5 Pro               3.17        0.01893  medium
195   OpenCode Go                        USD 10             DeepSeek V4 Pro             3.142       0.03183  medium
196   Kimi 会员 99 (v1) †                ¥99（国际 $19）    Kimi K2.7 Code              3.14        0.06051  medium
197   GLM Coding Lite (v3 ¥118) 中间值   CNY 118            GLM 5.3                     3.09        0.05633  high
198   GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3                     3.09        0.02339  high
199   OpenCode Go                        USD 10             Kimi K2.6                   3.016       0.03316  medium
200   Kimi 会员 99 (v1) †                ¥99（国际 $19）    Kimi K3                     2.9         0.06552  medium
201   Step Plan Mini (¥49)               CNY 49             Step 5 Preview              2.832       0.02552  medium
202   Command Code GOAT                  USD 10             Hy4 Preview                 2.699       0.03705  medium
203   Command Code GOAT                  USD 10             Qwen3.6 Plus                2.651       0.03772  medium
204   OpenCode Go                        USD 10             Kimi K2.7 Code              2.631       0.03801  medium
205   Command Code GOAT                  USD 10             Kimi K2.7 Code              2.631       0.03801  medium
206   Ollama Pro                         USD 20             Kimi K2.7 Code              2.631       0.07602  medium
207   Command Code GOAT                  USD 10             DeepSeek V4 Flash Fast      2.574       0.03885  medium
208   Ollama Pro                         USD 20             GLM 5.1                     2.553       0.07834  medium
209   Command Code GOAT                  USD 10             GLM 5.2                     2.264       0.04417  medium
210   GLM Coding Lite (v3 ¥118) 忙时     CNY 118            GLM 5.3                     2.06        0.0845   high
211   GLM Coding Lite (v2 ¥49) 忙时      CNY 49             GLM 5.3                     2.06        0.03509  high
212   阿里云百炼 Coding Plan Pro         CNY 200            Qwen3.7 Plus                1.98        0.14901  medium
213   Alibaba Cloud Coding Plan Pro      USD 50             Qwen3.7 Plus                1.98        0.25253  low
214   OpenCode Go                        USD 10             GLM 5.2                     1.94        0.05155  medium
215   OpenCode Go                        USD 10             GLM 5.1                     1.94        0.05155  medium
216   Ollama Pro                         USD 20             GLM 5.3                     1.94        0.10309  medium
217   Ollama Pro                         USD 20             GLM 5.2                     1.94        0.10309  medium
218   Command Code GOAT                  USD 10             Gemini 3.8 Flash            1.814       0.05513  medium
219   Command Code GOAT                  USD 10             Gemini 3.7 Flash            1.814       0.05513  medium
220   Command Code GOAT                  USD 10             Inkling Small               1.732       0.05774  medium
221   ChatGPT Plus                       USD 20             GPT-6 Astra                 1.59        0.12579  high
222   SuperGrok Lite                     USD 10             Grok 4.6                    1.5         0.06667  low
223   Command Code GOAT                  USD 10             Nemotron 3 Ultra            1.395       0.07168  medium
224   Ollama Pro                         USD 20             Kimi K3                     1.361       0.14695  medium
225   Command Code GOAT                  USD 10             Muse Spark 1.3              1.01        0.09901  medium
226   Command Code GOAT                  USD 10             Muse Spark 1.2              1.01        0.09901  medium
227   Command Code GOAT                  USD 10             Inkling                     0.952       0.10504  medium
228   Command Code GOAT                  USD 10             GPT 5.6 Sol                 0.921       0.10858  medium
229   Kimi 会员 49 (v1) †                CNY 49             Kimi K2.7 Code              0.78        0.09267  medium
230   Command Code GOAT                  USD 10             GLM 5.3                     0.647       0.15456  medium
231   Command Code GOAT                  USD 10             Qwen3.8 Max                 0.62        0.16129  medium
232   Command Code GOAT                  USD 10             Qwen3.8 Max 0902            0.62        0.16129  medium
233   Command Code GOAT                  USD 10             Qwen3.7 Max                 0.564       0.1773   medium
234   Command Code GOAT                  USD 10             MiMo V2.6 Pro UltraSpeed    0.534       0.18727  medium
235   OpenCode Go                        USD 10             Qwen3.7 Max                 0.513       0.19493  medium
236   OpenCode Go                        USD 10             GLM 5.3                     0.485       0.20619  medium
237   OpenCode Go                        USD 10             Qwen3.8 Max                 0.465       0.21505  medium
238   Command Code GOAT                  USD 10             Kimi K3                     0.454       0.22026  medium
239   Command Code GOAT                  USD 10             Kimi K2.7 Code HighSpeed    0.439       0.22779  medium
240   Command Code GOAT                  USD 10             Grok 4.7                    0.354       0.28249  medium
241   Command Code GOAT                  USD 10             Grok 4.5                    0.354       0.28249  medium
242   Command Code GOAT                  USD 10             Grok 4.6                    0.354       0.28249  medium
243   OpenCode Go                        USD 10             Kimi K3                     0.34        0.29412  medium
244   Command Code GOAT                  USD 10             GLM 5.2 Fast                0.327       0.30581  medium
245   OpenCode Go                        USD 10             Grok 4.6                    0.265       0.37736  medium
246   OpenCode Go                        USD 10             Grok 4.7                    0.265       0.37736  medium
